row_index,question,gt_sql,status,error,result_rows,results_csv
31,"Show Renal cell PD1, CTLA-4 trials conducted in 2018 or later.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""ici_class"" = 'PD1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""ici_class"" = 'PD1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
32,"List PD1, CTLA-4 trials that reported composite or co-primary endpoints.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD1, CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Co-primary';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD1, CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Co-primary';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
33,List PD1 trials that reported composite or co-primary endpoints.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD1' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD1' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
34,Show Bladder trials using PD1 where PD‑L1 positivity was an inclusion criterion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_in...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
35,Which Gastric/GEJ trials used Placebo as the control arm?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control_type"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Gastric/GEJ' AND ""control_type"" = 'Placebo';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control_type"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Gastric/GEJ' AND ""control_type"" = 'Placebo';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
36,Show Gastric/GEJ trials using PD1 where PD‑L1 positivity was an inclusion criterion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Gastric/GEJ' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_in...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Gastric/GEJ' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
37,"Which Phase 2 PD-L1 monotherapy trials in Breast should I review, and what were their regimens?","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1' AND ""cancer_type"" = 'Breast' AND ""trial_phase"" = 'Phase 2' AND ""therapy_modality"" = 'Monotherapy';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_p...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1' AND ""cancer_type"" = 'Breast' AND ""trial_phase"" = 'Phase 2' AND ""therapy_modality"" = 'Monotherapy';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
38,Show Bladder PD-L1 trials conducted in 2018 or later.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""ici_class"" = 'PD-L1' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""ici_class"" = 'PD-L1' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
39,List Bladder trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""other_biomarker_inclusion"" = 'No';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_b...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""other_biomarker_inclusion"" = 'No';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
40,List CTLA-4 trials that reported composite or co-primary endpoints.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
41,"Show Non-Small Cell Lung PD-L1, CTLA-4 trials conducted in 2018 or later.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""ici_class"" = 'PD-L1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""ici_class"" = 'PD-L1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
42,"List PD-L1, CTLA-4 trials that reported composite or co-primary endpoints.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1, CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1, CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
43,"Show Non-Small Cell Lung studies included in the meta‑analysis that used PD-L1, CTLA-4 agents.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""included_in_ma"", ""ici_class"", ""cancer_type"", ""ici_name""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""ici_class"" = 'PD-L1, CTLA-4' AND ""included_in_ma"" = 'Yes';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""include...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""included_in_ma"", ""ici_class"", ""cancer_type"", ""ici_name""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""ici_class"" = 'PD-L1, CTLA-4' AND ""included_in_ma"" = 'Yes';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
44,"Which Phase 3 PD-L1, CTLA-4 combination trials in Non-Small Cell Lung should I review, and what were their regimens?","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1, CTLA-4' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 3' AND ""therapy_modality"" = 'Combination';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_p...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1, CTLA-4' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 3' AND ""therapy_modality"" = 'Combination';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
45,Which Pancreatic trials evaluated Pembrolizumab in phase 2?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Pembrolizumab' AND ""cancer_type"" = 'Pancreatic' AND ""trial_phase"" = 'Phase 2';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_nam...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Pembrolizumab' AND ""cancer_type"" = 'Pancreatic' AND ""trial_phase"" = 'Phase 2';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
46,Which Melanoma trials evaluated Pembrolizumab in phase 3?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Pembrolizumab' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 3';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_nam...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Pembrolizumab' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 3';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
47,Show Melanoma trials using PD1 where PD‑L1 positivity was an inclusion criterion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_in...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
48,Which Non-Small Cell Lung trials used Chemo+Anti-VEGF as the control arm?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control_type"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""control_type"" = 'Chemo+Anti-VEGF';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control_type"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""control_type"" = 'Chemo+Anti-VEGF';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
49,"Show Head and Neck PD-L1, CTLA-4 trials conducted in 2018 or later.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""ici_class"" = 'PD-L1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""ici_class"" = 'PD-L1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
50,Show Head and Neck trials with at least 2 prior lines of therapy that used combination treatment.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_of_treatment"", ""therapy_modality"", ""cancer_type"", ""combination_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""therapy_modality"" = 'Combination';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_o...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_of_treatment"", ""therapy_modality"", ""cancer_type"", ""combination_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""therapy_modality"" = 'Combination';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
51,Show Head and Neck trials using PD-L1 where PD‑L1 positivity was an inclusion criterion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""ici_class"" = 'PD-L1' AND ""pdl1_inclusion"" = 'Yes';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_in...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""ici_class"" = 'PD-L1' AND ""pdl1_inclusion"" = 'Yes';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
52,Which Non-Small Cell Lung trials evaluated Atezolizumab in phase 3?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Atezolizumab' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 3';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_nam...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Atezolizumab' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 3';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
53,List PD-L1 trials that reported composite or co-primary endpoints.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1' AND ""primary_endpoint_is_multiple_or_composite"" = 'Co-primary';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1' AND ""primary_endpoint_is_multiple_or_composite"" = 'Co-primary';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
54,Find Breast trials with median follow‑up and show months by arm.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""follow_up_type"", ""cancer_type"", ""follow_up_duration_rx_months"", ""follow_up_duration_control_months""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Breast' AND ""follow_up_type"" = 'Median';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""follow_...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""follow_up_type"", ""cancer_type"", ""follow_up_duration_rx_months"", ""follow_up_duration_control_months""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Breast' AND ""follow_up_type"" = 'Median';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
55,List PD-L1 trials that reported composite or co-primary endpoints.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
56,List Breast trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Breast' AND ""other_biomarker_inclusion"" = 'No';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_b...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Breast' AND ""other_biomarker_inclusion"" = 'No';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
57,Show Non-Small Cell Lung trials with at least 2 prior lines of therapy that used combination treatment.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_of_treatment"", ""therapy_modality"", ""cancer_type"", ""combination_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""therapy_modality"" = 'Combination';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_o...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_of_treatment"", ""therapy_modality"", ""cancer_type"", ""combination_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""therapy_modality"" = 'Combination';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
58,List PD1 trials that reported composite or co-primary endpoints.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD1' AND ""primary_endpoint_is_multiple_or_composite"" = 'Co-primary';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_cla...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD1' AND ""primary_endpoint_is_multiple_or_composite"" = 'Co-primary';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
59,"Find Phase 3 Nivolumab, Ipilimumab trials in Non-Small Cell Lung that were original publication publications.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Nivolumab, Ipilimumab' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 3' AND ""publication_type"" = 'Original publication';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_nam...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Nivolumab, Ipilimumab' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 3' AND ""publication_type"" = 'Original publication';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
60,"Show Non-Small Cell Lung studies included in the meta‑analysis that used PD1, CTLA-4 agents.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""included_in_ma"", ""ici_class"", ""cancer_type"", ""ici_name""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""ici_class"" = 'PD1, CTLA-4' AND ""included_in_ma"" = 'Yes';",error,"(psycopg2.errors.UndefinedColumn) column ""publication_type"" does not exist
LINE 1: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""include...
                                        ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""included_in_ma"", ""ici_class"", ""cancer_type"", ""ici_name""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""ici_class"" = 'PD1, CTLA-4' AND ""included_in_ma"" = 'Yes';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,
