id,nct,pubmed_id,trial_name,author,year,trial_phase,number_of_arms,total_sample_size,publication_type,cancer_type,treatment_regimen,ici_name,ici_class,therapy_modality,combination_type,control_regimen,control_type,lines_of_treatment,clinical_setting_in_relation_to_surgery,primary_endpoint,primary_endpoint_is_multiple_or_composite,secondary_endpoint,pdl1_inclusion,other_biomarker_inclusion,follow_up_type,follow_up_duration_overall_months,follow_up_duration_rx_months,follow_up_duration_control_months,included_in_ma,therapy_type,clinical_setting
58,NCT00324155,21639810,,Robert C et al,2011,Phase 3,2,502.0,Original publication,Melanoma,Ipilimumab+Dacarbazine,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Dacarbazine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, best ORR, DCR, time to response, DOR, safety",False,False,,,,,Yes,Combination,Metastatic+recurrent (unresectable)
59,NCT00094653,20525992,MDX010-20,Hodi FS et al,2010,Phase 3,3,676.0,Original publication,Melanoma,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,,Gp100 vaccine,Vaccine,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,False,True,Median,,27.8,17.2,Yes,Monotherapy,Metastatic+recurrent (unresectable)
60,NCT00094653,20525992,MDX010-20,Hodi FS et al (1),2010,Phase 3,3,676.0,Original publication,Melanoma,Ipilimumab+Gp100 Vaccine,Ipilimumab,CTLA-4,Combination,ICI+Vaccine,Gp100 vaccine,Vaccine,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.,False,True,Median,,21.0,17.2,Yes,Combination,Metastatic+recurrent (unresectable)
61,NCT00257205,23295794,,Ribas A et al,2013,Phase 3,2,655.0,Original publication,Melanoma,Tremelimumab,Tremelimumab,CTLA-4,Monotherapy,,Temozolomide/dacarbazine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; best overall response; duration of response; PFS at 6 months after random assignment; safety.,False,False,,,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
62,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,Eggermont AMM et al,2018,Phase 3,2,1019.0,Original publication,Melanoma,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Placebo,Placebo,,Adjuvant,PFS,,Distant metastasis-free survival; OS; safety measures; measures of health-related quality of life.,False,False,Median,15.1,14.7,15.4,Yes,Monotherapy,Adjuvant
63,NCT01704287,26115796,KEYNOTE-002,Ribas A et al,2015,Phase 2,3,540.0,Original publication,Melanoma,Pembrolizumab 2 mg/kg,Pembrolizumab,PD1,Monotherapy,,Investigator's choice chemotherapy,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,False,False,Median,10.0,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
64,NCT01704287,26115796,KEYNOTE-002,Ribas A et al (1),2015,Phase 2,3,540.0,Original publication,Melanoma,Pembrolizumab 10 mg/kg,Pembrolizumab,PD1,Monotherapy,,Investigator's choice chemotherapy,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.,False,False,Median,10.0,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
65,NCT01704287,28961465,KEYNOTE-002,Hamid O et al,2017,Phase 2,3,540.0,Follow-up,Melanoma,Pembrolizumab 2 mg/kg,Pembrolizumab,PD1,Monotherapy,,Investigator's choice chemotherapy,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,ORR; response duration; safety.,False,False,Median,28.0,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
66,NCT01704287,28961465,KEYNOTE-002,Hamid O et al (1),2017,Phase 2,3,540.0,Follow-up,Melanoma,Pembrolizumab 10 mg/kg,Pembrolizumab,PD1,Monotherapy,,Investigator's choice chemotherapy,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,ORR; response duration; safety.,False,False,Median,28.0,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
67,NCT00636168,27717298,,Eggermont AMM et al,2016,Phase 3,2,951.0,Original publication,Melanoma,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,,Placebo,Placebo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,OS; distant metastasis–free survival; safety; health-related quality of life.,False,False,Median,5.3,5.3,5.4,Yes,Monotherapy,Metastatic+recurrent (unresectable)
68,NCT01721746,25795410,CheckMate 037,Weber JS et al,2015,Phase 3,2,405.0,Original publication,Melanoma,Nivolumab,Nivolumab,PD1,Monotherapy,,Dacarbazine/carboplatin+paclitaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+ORR,Co-primary,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,False,False,Minimum,6.0,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
69,NCT01721746,28671856,CheckMate 037,Larkin J et al,2018,Phase 3,2,405.0,Follow-up,Melanoma,Nivolumab,Nivolumab,PD1,Monotherapy,,Dacarbazine/carboplatin+paclitaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+ORR,Co-primary,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.,False,False,Minimum,24.0,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
70,NCT02130466,31171878,KEYNOTE-022,Ascierto PA et al,2019,Phase 2,2,120.0,Original publication,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Pembrolizumab,PD1,Combination,ICI+BRAFi+MEKi,Dabrafenib+trametinib+placebo,BRAFi+MEKi,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,ORR; duration of response; time to response; OS.,False,True,Median,9.6,,,Yes,Combination,Metastatic+recurrent (unresectable)
71,NCT01721772,25399552,CheckMate 066,Robert C et al,2015,Phase 3,2,418.0,Original publication,Melanoma,Nivolumab,Nivolumab,PD1,Monotherapy,,Dacarbazine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,False,True,Upto,16.7,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
72,NCT01721772,30422243,CheckMate 066,Ascierto PA et al,2019,Phase 3,2,418.0,Follow-up,Melanoma,Nivolumab,Nivolumab,PD1,Monotherapy,,Dacarbazine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,False,True,Median,38.4,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
73,NCT01843374,28729154,DETERMINE,Maio M et al,2017,Phase 2,2,571.0,Original publication,Mesothelioma,Tremelimumab,Tremelimumab,CTLA-4,Monotherapy,,Placebo,Placebo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,18-month OS; disease control and durable disease control; PFS; proportion of patients achieving an objective response; duration of response;  patient-reported outcomes; pharmacokinetics; immunogenicity of tremelimumab; and safety and tolerability.,False,False,,,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
74,NCT02576977,31327687,KEYNOTE-183,Mateos MV et al,2019,Phase 3,2,348.0,Original publication,Multiple Myeloma,Pembrolizumab+Pomalidomide+Dexamethasone,Pembrolizumab,PD1,Combination,ICI+Chemo,Pomalidomide+Dexamethasone,Chemo,Only 2nd or later line of treatment for metastatic disease,,OS+PFS,Multiple,Overall response; duration of response; disease control; safety and tolerability of both treatments; secondary PFS.,False,False,Median,8.1,,,No,Combination,
75,NCT02579863,31327689,KEYNOTE-185,Usmani SZ et al,2019,Phase 3,2,301.0,Original publication,Multiple Myeloma,Pembrolizumab+Lenalidomide+Dexamethasone,Pembrolizumab,PD1,Combination,ICI+Chemo,Lenalidomide+Dexamethasone,Chemo,Only 1st line of treatment for metastatic disease,,PFS,,Safety; OS; overall response; duration of response; disease control; secondary PFS.,False,False,Median,6.6,,,No,Combination,
76,NCT00861614,24831977,CA184-043,Kwon ED et al,2014,Phase 3,2,799.0,Original publication,Prostate,Ipilimumab,Ipilimumab,CTLA-4,Combination,ICI+RadiatICIn,Placebo+Radiotherapy,Radiation,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; pain response; safety profile.,False,False,Median,,9.9,9.3,Yes,Combination,Metastatic+recurrent (unresectable)
77,NCT01057810,28034081,CA184-095,Beer TM et al,2017,Phase 3,2,602.0,Original publication,Prostate,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,,Placebo,Placebo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS; time to subsequent systemic, cytotoxic therapy and to pain progression in all patients; safety profile in treated patients.",False,False,,,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
78,NCT02267343,31863227,ATTRACTION-2,Chen LT et al,2019,Phase 3,2,493.0,Follow-up,Gastric/GEJ,Nivolumab,Nivolumab,PD1,Monotherapy,,Placebo,Placebo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, disease control rate, DoR, time to response, best overall response, the maximum percentage change from baseline in the sum of diameters of target lesions.",False,False,Median,27.3,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
79,NCT02702401,31790344,KEYNOTE-240,Finn RS et al,2019,Phase 3,2,413.0,Original publication,Hepatocellular,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Placebo,Placebo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,ORR; DCR; DoR; time to progression; safety and tolerability.,False,False,Median,,13.8,10.6,Yes,Monotherapy,Metastatic+recurrent (unresectable)
80,NCT02569242,31582355,ATTRACTION-3,Kato K et al,2019,Phase 3,2,419.0,Original publication,Esophageal/GEJ,Nivolumab,Nivolumab,PD1,Monotherapy,,Paclitaxel/Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed objective response, best overall response; progression-free survival;the proportion of patients with disease control; maximum percentage change from baseline in the sum of the diameters of target lesions; time to response; and duration of response",False,False,Median,,10.5,8.0,Yes,Monotherapy,Metastatic+recurrent (unresectable)
81,NCT01042379,32053137,I-SPY2,Nanda R et al,2019,Phase 2,2,250.0,Original publication,Breast,Pembrolizumab+Paclitaxel,Pembrolizumab,PD1,Combination,ICI+Chemo,Paclitaxel+Doxorubicin+Cyclophosphamide,Chemo,,Neoadjuvant,Path CR,,residual cancer burden (RCB) and 3-year event-free and distant recurrence-free survival.,False,True,Median,,33.6,36.0,No,Combination,Neoadjuvant
82,NCT03043872,31590988,CASPIAN,Paz-Ares L et al,2019,Phase 3,3,805.0,Original publication,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Durvalumab,PD-L1,Combination,ICI+Chemo,Platinum+Etoposide,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,False,False,Median,14.2,,,Yes,Combination,Metastatic+recurrent (unresectable)
83,NCT03043872,31590988,CASPIAN,Paz-Ares L et al (1),2019,Phase 3,3,805.0,Original publication,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,"Durvalumab, Tremelimumab","PD-L1, CTLA-4",Combination,ICI+ICI+Chemo,Platinum+Etoposide,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,False,False,Median,14.2,,,Yes,Combination,Metastatic+recurrent (unresectable)
84,NCT02425891,31786121,IMpassion130,Schmid P et al,2019,Phase 3,2,902.0,Follow-up,Breast,Atezolizumab+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"investigator-assessed RECIST v1.1 ORR,  DoR",False,False,Median,,18.5,17.5,No,Combination,Metastatic+recurrent (unresectable)
85,NCT02358031,31679945,KEYNOTE-048,Burtness B et al,2019,Phase 3,3,882.0,Original publication,Head and Neck,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Cetuximab+Platinum agent+5-fluorouracil,Chemo+Anti-EGFR,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",False,False,Median,,11.5,10.7,Yes,Monotherapy,Metastatic+recurrent (unresectable)
86,NCT02358031,31679945,KEYNOTE-048,Burtness B et al (1),2019,Phase 3,3,882.0,Original publication,Head and Neck,Pembrolizumab+Platinum agent+5-Fluorouracil,Pembrolizumab,PD1,Combination,ICI+Chemo,Cetuximab+Platinum agent+5-fluorouracil,Chemo+Anti-EGFR,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"Safety and tolerability; proportion of participants with objective response; proportion of participants who were progression-free at 6 and 12 months; change from baseline in global health status or quality of life; time to deterioration in global health status or quality of life, pain, and
swallowing.",False,False,Median,,13.0,10.7,Yes,Combination,Metastatic+recurrent (unresectable)
87,NCT02763579,31959349,IMpower133,Mansfield AS et al,2020,Phase 3,2,403.0,Follow-up,Small Cell Lung,Atezolizumab+Carboplatin+Etoposide,Atezolizumab,PD-L1,Combination,ICI+Chemo,Placebo+Carboplatin+Etoposide,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,Patient-reported outcomes,False,False,,,,,No,Combination,Metastatic+recurrent (unresectable)
88,NCT02362048,32114502,KEYNOTE144,Overman M et al,2020,Phase 2,2,77.0,Original publication,Pancreatic,Pembrolizumab+Acalabrutinib,Pembrolizumab,PD1,Combination,ICI+TKI,Acalabrutinib,TKI,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),Safety,,ORR; disease control rate; PFS; OS; change in cancer antigen (CA) 19–9.,False,False,,,,,No,Combination,Metastatic+recurrent (unresectable)
89,NCT02352948,32201234,ARCTIC,Planchard D et al,2020,Phase 3,4,595.0,Original publication,Non-Small Cell Lung,Durvalumab,Durvalumab,PD-L1,Monotherapy,,Erlotinib/gemcitabine/vinorelbine,Chemo/TKI,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.,False,False,Median,9.1,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
90,NCT02352948,32201234,ARCTIC,Planchard D et al (1),2020,Phase 3,4,595.0,Original publication,Non-Small Cell Lung,Tremelimumab,Tremelimumab,CTLA-4,Monotherapy,,Erlotinib/gemcitabine/vinorelbine,Chemo/TKI,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.,False,False,Median,9.1,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
91,NCT02352948,32201234,ARCTIC,Planchard D et al (2),2020,Phase 3,4,595.0,Original publication,Non-Small Cell Lung,Durvalumab+Tremelimumab,"Durvalumab, Tremelimumab","PD-L1, CTLA-4",Combination,ICI+ICI,Erlotinib/gemcitabine/vinorelbine,Chemo/TKI,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.,False,False,Median,9.1,,,Yes,Combination,Metastatic+recurrent (unresectable)
92,NCT03036488,32101663,KEYNOTE-522,Schmid P et al,2020,Phase 3,2,1174.0,Original publication,Breast,Pembrolizumab+Paclitaxel+Carboplatin,Pembrolizumab,PD1,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,,Neoadjuvant,Path CR+EFS,Co-primary,"pathological complete response, a pathological complete response according to all definitions in patients with PD-L1–positive tumors, eventfree survival among patients with PD-L1–positive tumors, and OS among all patients and patients with PD-L1–positive tumors.",False,True,Median,15.5,,,No,Combination,Neoadjuvant
93,NCT01274338,31880964,E1609,Tarhini AA et al,2020,Phase 3,3,1670.0,Original publication,Melanoma,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,,High-dose Interferon alfa-2b,Interferon,,Adjuvant,OS+RFS,Co-primary,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",False,False,Median,57.4,,,No,Monotherapy,Adjuvant
94,NCT01274338,31880964,E1609,Tarhini AA et al (1),2020,Phase 3,3,1670.0,Original publication,Melanoma,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,,High-dose Interferon alfa-2b,Interferon,,Adjuvant,OS+RFS,Co-primary,"Safety, tolerability and quality-of-life with adjuvant ipilimumab",False,False,Median,57.4,,,No,Monotherapy,Adjuvant
95,NCT02523313,32416781,IMMUNED,Zimmer L et al,2020,Phase 2,3,167.0,Original publication,Melanoma,Nivolumab,Nivolumab,PD1,Monotherapy,,Placebo,Placebo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),RFS,,OS; time to recurrence; safety; PFS or RFS 2.,False,False,Median,28.4,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
96,NCT02523313,32416781,IMMUNED,Zimmer L et al (1),2020,Phase 2,3,167.0,Original publication,Melanoma,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Placebo,Placebo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),RFS,,OS; time to recurrence; safety; PFS or RFS 2.,False,False,Median,28.4,,,Yes,Combination,Metastatic+recurrent (unresectable)
97,NCT01896869,32591464,,Wu AA et al,2020,Phase 2,2,83.0,Original publication,Pancreatic,Ipilimumab+GVAX,Ipilimumab,CTLA-4,Combination,ICI+Vaccine,FOLFIRINOX,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,Safety; toxicities; clinical and immunological responses.,False,False,,,,,No,Combination,Metastatic+recurrent (unresectable)
98,NCT03066778,32468956,KEYNOTE-604,Rudin CM et al,2020,Phase 3,2,453.0,Original publication,Small Cell Lung,Pembrolizumab+Etoposide+Platinum agent,Pembrolizumab,PD1,Combination,ICI+Chemo,Placebo+Etoposide+Platinum agent,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,ORR; DOR,False,False,,,,,Yes,Combination,Metastatic+recurrent (unresectable)
99,NCT02453282,32271377,MYSTIC,Rizvi NA et al,2020,Phase 3,3,1118.0,Original publication,Non-Small Cell Lung,Durvalumab,Durvalumab,PD-L1,Monotherapy,,Investigator's choice chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,PFS for durvalumab vs. chemotherapy; ORR and DOR in patients with PD-L1 TC ≥25%; safety and tolerability.,False,True,Median,,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
100,NCT02453282,32271377,MYSTIC,Rizvi NA et al (1),2020,Phase 3,3,1118.0,Original publication,Non-Small Cell Lung,Durvalumab+Tremelimumab,"Durvalumab, Tremelimumab","PD-L1, CTLA-4",Combination,ICI+ICI,Investigator's choice chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,PFS for durvalumab vs. chemotherapy; ORR and DOR in patients with PD-L1 TC ≥25%; safety and tolerability.,False,True,Median,,,,Yes,Combination,Metastatic+recurrent (unresectable)
101,NCT02231749,32661118,CheckMate 214,Motzer RJ et al,2020,Phase 3,2,1096.0,Follow-up,Renal cell,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS+ORR,Co-primary,"ORR, PFS and OS in ITT population; incidence rate of AEs.",False,False,Minimum,42.0,,,Yes,Combination,Metastatic+recurrent (unresectable)
102,NCT02367794,32302702,IMpower131,Jotte R et al,2020,Phase 3,3,1021.0,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Carboplatin+Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"ORR, DOR, PFS and OS in PD-L1 subgroups and T-effector population; safety.",False,False,Median,,,,Yes,Combination,Metastatic+recurrent (unresectable)
103,NCT02367794,32302702,IMpower131,Jotte R et al (1),2020,Phase 3,3,1021.0,Original publication,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Carboplatin+Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"ORR, DOR, PFS and OS in PD-L1 subgroups and T-effector population; safety.",False,False,Median,,,,Yes,Combination,Metastatic+recurrent (unresectable)
104,NCT02908672,32534646,IMspire150,Gutzmer R et al,2020,Phase 3,2,514.0,Original publication,Melanoma,Atezolizumab+Vemurafenib+Cobimetinib,Atezolizumab,PD-L1,Combination,ICI+BRAFi+MEKi,Placebo+Vemurafenib+Cobimetinib,BRAFi+MEKi,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,PFS assessed by independent review committee; ORR; DOR; OS; time to deterioration in global health status and physical function.,False,True,Median,18.9,,,Yes,Combination,Metastatic+recurrent (unresectable)
105,NCT02017717,32437507,CheckMate 143,Reardon DA et al,2020,Phase 3,2,369.0,Original publication,Head and Neck,Nivolumab,Nivolumab,PD1,Monotherapy,,Bevacizumab,Anti-VEGF,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,OS rate at 12 months; investigator-assessed PFS and ORR.,False,False,Median,9.5,9.8,9.4,Yes,Monotherapy,Metastatic+recurrent (unresectable)
106,NCT02500121,32271672,,Galsky MD et al,2020,Phase 2,2,108.0,Original publication,Urothelial,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Placebo,Placebo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"OS, treatment outcomes CPS",False,False,Median,,5.4,3.0,Yes,Monotherapy,Metastatic+recurrent (unresectable)
107,NCT02807636,32416780,IMvigor130,Galsky MD et al,2020,Phase 3,3,1213.0,Original publication,Urothelial,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,Atezolizumab,PD-L1,Combination,ICI+Chemo,Placebo+Gemcitabine+Carboplatin or Cisplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"RR, DOR, PFS",False,False,Median,,,,Yes,Combination,Metastatic+recurrent (unresectable)
108,NCT02807636,32416780,IMvigor130,Galsky MD et al (1),2020,Phase 3,3,1213.0,Original publication,Urothelial,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Placebo+Gemcitabine+Carboplatin or Cisplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"RR, DOR, PFS",False,False,Median,,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
109,NCT03434379,32402160,IMbrave150,Finn RS et al,2020,Phase 3,3,336.0,Original publication,Hepatocellular,Atezolizumab+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Anti-VEGF,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,"ORR, DOR, safety, tolerability",False,False,Median,,,,Yes,Combination,Metastatic+recurrent (unresectable)
110,NCT02369874,32294530,EAGLE,Ferris RL et al,2020,Phase 3,3,736.0,Original publication,Head and Neck,Durvalumab,Durvalumab,PD-L1,Monotherapy,,Cetuximab+Taxane+Methotrexate+Fluoropyrimidine,Chemo+Anti-EGFR,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DOR",True,False,Median,,7.6,8.3,Yes,Monotherapy,Metastatic+recurrent (unresectable)
111,NCT02369874,32294530,EAGLE,Ferris RL et al (1),2020,Phase 3,3,736.0,Original publication,Head and Neck,Durvalumab+Tremelimumab,"Durvalumab, Tremelimumab","PD-L1, CTLA-4",Combination,ICI+ICI,Cetuximab+Taxane+Methotrexate+Fluoropyrimidine,Chemo+Anti-EGFR,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, DOR",True,False,Median,,6.5,8.3,Yes,Combination,Metastatic+recurrent (unresectable)
112,NCT02870920,32379280,,Chen EX et al,2020,Phase 2,2,180.0,Original publication,Colorectal,Durvalumab+Tremelimumab+Best supportive care,"Durvalumab, Tremelimumab","PD-L1, CTLA-4",Combination,ICI+ICI+Chemo,Best supportive care,Best supportive care,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR",False,False,Median,,6.6,4.1,No,Combination,Metastatic+recurrent (unresectable)
113,NCT02574598,32271354,PROLUNG,Arrieta O et al,2020,Phase 2,2,78.0,Original publication,Non-Small Cell Lung,Pembrolizumab+ Docetaxel,Pembrolizumab,PD1,Combination,ICI+Chemo,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),ORR,,"PFS, OS, safety",False,False,,,,,Yes,Combination,Metastatic+recurrent (unresectable)
114,NCT01668784,32673417,CheckMate 025,Motzer RJ et al,2020,Phase 3,2,821.0,Follow-up,Renal cell,Nivolumab,Nivolumab,PD1,Monotherapy,,Everolimus,mTOR inhibitor,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",False,False,Median,,25.8,19.7,Yes,Monotherapy,Metastatic+recurrent (unresectable)
115,NCT02684006,32339648,JAVELIN Renal 101,Choueiri TK et al,2020,Phase 3,2,886.0,Follow-up,Renal cell,Avelumab+Axitinib,Avelumab,PD-L1,Combination,ICI+TKI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,False,False,Median,,,,No,Combination,Metastatic+recurrent (unresectable)
116,NCT02142738,27718847,Keynote-024,Reck M et al,2016,Phase 3,2,305.0,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Platinum-based chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"OS, ORR, safety",True,False,Median,,10.3,6.0,Yes,Monotherapy,Metastatic+recurrent (unresectable)
