NCT,Authors,Year,PMID,Trial name,Cancer type,Treatment regimen,treatment_summary
NCT01668784,Motzer RJ et al,2020,32673417,CheckMate 025,Renal cell,Nivolumab,Nivolumab monotherapy for renal cell carcinoma.
NCT02684006,Choueiri TK et al,2020,32339648,JAVELIN Renal 101,Renal cell,Avelumab+Axitinib,Avelumab plus Axitinib combination therapy for Renal Cell Carcinoma.
NCT02142738,Reck M et al,2016,27718847,Keynote-024,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab monotherapy for treatment of Non-Small Cell Lung Cancer
NCT00094653,McDermott D et al,2013,23942774,MDX010-20,Melanoma,Ipilimumab,Ipilimumab monotherapy for melanoma; an immune checkpoint inhibitor.
NCT00094653,McDermott D et al,2013,23942774,MDX010-20,Melanoma,Ipilimumab,Ipilimumab plus Gp100 vaccine for melanoma treatment.
NCT00094653,McDermott D et al (1),2013,23942774,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,Ipilimumab monotherapy for melanoma; an immune checkpoint inhibitor.
NCT00094653,McDermott D et al (1),2013,23942774,MDX010-20,Melanoma,Ipilimumab+Gp100 Vaccine,Ipilimumab plus Gp100 vaccine for melanoma treatment.
NCT03051659,Tolaney SM et al,2020,32880602,,Breast,Pembrolizumab+Eribulin,Pembrolizumab plus Eribulin for breast cancer. 
NCT02494583,Shitara K et al,2020,32880601,Keynote-062,Gastric/GEJ,Pembrolizumab,Pembrolizumab monotherapy for gastric or GEJ cancer.
NCT02494583,Shitara K et al,2020,32880601,Keynote-062,Gastric/GEJ,Pembrolizumab,Pembrolizumab plus Cisplatin and 5-FU or Capecitabine chemotherapy
NCT02494583,Shitara K et al (1),2020,32880601,Keynote-062,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Pembrolizumab monotherapy for gastric or GEJ cancer.
NCT02494583,Shitara K et al (1),2020,32880601,Keynote-062,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Pembrolizumab plus Cisplatin and 5-FU or Capecitabine chemotherapy
NCT02819518,Cortes J et al,2020,33278935,MK-3475/Keynote-355,Breast,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,Pembrolizumab plus nab-paclitaxel/paclitaxel/gemcitabine+carboplatin for breast cancer
NCT02516241,Powles T et al,2020,32971005,DANUBE,Urothelial,Durvalumab,Durvalumab monotherapy for urothelial cancer.
NCT02516241,Powles T et al,2020,32971005,DANUBE,Urothelial,Durvalumab,Durvalumab plus Tremelimumab combination therapy for Urothelial cancer.
NCT02516241,Powles T et al (1),2020,32971005,DANUBE,Urothelial,Durvalumab+Tremelimumab,Durvalumab monotherapy for urothelial cancer.
NCT02516241,Powles T et al (1),2020,32971005,DANUBE,Urothelial,Durvalumab+Tremelimumab,Durvalumab plus Tremelimumab combination therapy for Urothelial cancer.
NCT03197935,Mittendorf EA et al,2020,32966830,IMpassion031,Breast,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,"Atezolizumab, Nab-paclitaxel, Doxorubicin, Cyclophosphamide, and Filgrastim/Pegfilgrastim."
NCT02603432,Powles T et al,2020,32945632,,Urothelial,Avelumab+Best Supportive Care,Avelumab plus best supportive care for urothelial cancer.
NCT02625610,Moehler M et al,2020,33197226,Javelin Gastric 100,Gastric/GEJ,Avelumab,Avelumab as first-line maintenance therapy for advanced gastric cancer.
NCT02899299,Baas P et al.,2021,33485464,CheckMate 743,Mesothelioma,Nivolumab+Ipilimumab,Nivolumab plus Ipilimumab combination immunotherapy for mesothelioma treatment.
NCT02409342,Herbst RS et al.,2020,32997907,IMpower110,Non-Small Cell Lung,Atezolizumab,Atezolizumab monotherapy for Non-Small Cell Lung Cancer
NCT02924883,Emens LA et al,2020,33002436,KATE2,Breast,Atezolizumab,Atezolizumab monotherapy for breast cancer in the KATE2 trial.
NCT02853331,Powles T et al. ,2020,33284113,Keynote-426,Renal cell,Pembrolizumab+Axitinib,Pembrolizumab plus Axitinib combination therapy for Renal cell cancer.
NCT02657434,Nishio M et al,2020,33333328,Impower 132,NSCLC,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,Atezolizumab plus Carboplatin/Cisplatin and Pemetrexed for NSCLC.
NCT02564263,Kojima T et al.,2020,33026938,KEYNOTE-181,Esophageal/GEJ,Pembrolizumab,Pembrolizumab monotherapy for Esophageal/GEJ cancer in KEYNOTE-181 trial.
NCT00861614,Fizazi K et al.,2020,32811715,CA184-043,Prostate,Ipilimumab,Ipilimumab monotherapy for prostate cancer.
NCT01721772,Robert C et al,2020,32997575,CheckMate 066,Melanoma,Nivolumab,Nivolumab monotherapy for melanoma.
NCT02130466,Ferrucci PF et al,2020,33361337,KEYNOTE-022,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,"Pembrolizumab, Dabrafenib, and Trametinib combination therapy for Melanoma."
NCT03043872,Goldman JW et al,2020,33285097,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Durvalumab + Tremelimumab + Etoposide + Platinum chemotherapy combination.
NCT03043872,Goldman JW et al,2020,33285097,CASPIAN,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Durvalumab plus etoposide and platinum agent for small cell lung cancer.
NCT03043872,Goldman JW et al (1),2020,33285097,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Durvalumab + Tremelimumab + Etoposide + Platinum chemotherapy combination.
NCT03043872,Goldman JW et al (1),2020,33285097,CASPIAN,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Durvalumab plus etoposide and platinum agent for small cell lung cancer.
NCT02991482,Popat S et al. ,2020,32976938,PROMISE-meso,Mesothelioma,Pembrolizumab,Pembrolizumab monotherapy for mesothelioma; an immune checkpoint inhibitor regimen.
NCT02563002,Andre T et al.,2020,33264544,MK-3475/Keynote-177,Colorectal,Pembrolizumab,Pembrolizumab monotherapy for colorectal cancer; anti-PD-1 immunotherapy.
NCT02362594,Eggermont AMM et al,2020,32946353,EORTC 1325-MG/KEYNOTE-054,Melanoma,Pembrolizumab,Pembrolizumab monotherapy for melanoma; adjuvant treatment post-resection.
NCT00636168,Eggermont AMM et al,2015,25840693,,Melanoma,Ipilimumab,Ipilimumab monotherapy for melanoma patients.
NCT01903993,Mazieres J et al,2020,33166718,POPLAR,Non-Small Cell Lung,Atezolizumab,Atezolizumab monotherapy for Non-Small Cell Lung Cancer
NCT02008227,Mazieres J et al,2020,33166718,OAK,Non-Small Cell Lung,Atezolizumab,Atezolizumab monotherapy for Non-Small Cell Lung Cancer
NCT02811861,Motzer R et al,2021,33616314,CLEAR,Renal cell,Pembrolizumab+Lenvatinib,Pembrolizumab plus Lenvatinib combination therapy for Renal cell carcinoma.
NCT03215706,Paz-Ares L et al,2021,33476593,CheckMate 9LA,Non-Small Cell Lung,Nivolumab+Ipilimumab+Chemotherapy,"Nivolumab, Ipilimumab plus chemotherapy for Non-Small Cell Lung Cancer"
NCT02481830,Spigel DR et al,2021,33539946,CheckMate 331,Small Cell Lung,Nivolumab,Nivolumab monotherapy for small cell lung cancer.
NCT03141177,Choueiri TK et al,2021,33657295,CheckMate 9ER,Renal cell,Nivolumab+Cabozantinib,Nivolumab plus cabozantinib combination therapy for renal cell carcinoma.
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Small Cell Lung,Nivolumab+Ipilimumab,Nivolumab plus Ipilimumab combination immunotherapy for small cell lung cancer.
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Small Cell Lung,Nivolumab+Ipilimumab,Nivolumab monotherapy for small cell lung cancer; CheckMate 451 trial.
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Small Cell Lung,Nivolumab,Nivolumab plus Ipilimumab combination immunotherapy for small cell lung cancer.
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Small Cell Lung,Nivolumab,Nivolumab monotherapy for small cell lung cancer; CheckMate 451 trial.
NCT02299999,Bachelot T et al,2021,33462450,SAFIR02-BREAST IMMUNO,Breast,Durvalumab,Durvalumab monotherapy for breast cancer
NCT02684292,Kuruvilla J et al,2021,33721562,Keynote-204,Hodgkin Lymphoma,Pembrolizumab,Pembrolizumab monotherapy for Hodgkin Lymphoma. 
NCT02450331,Bellmunt J et al,2021,33721560,Imvigor010,Urothelial,Atezolizumab,Atezolizumab monotherapy for urothelial cancer; PD-L1 inhibitor
NCT02555657,Winer PE et al,2021,33676601,Keynote-119,Breast,Pembrolizumab,Pembrolizumab monotherapy for breast cancer.
NCT03088540,Sezer A et al,2021,33581821,EMPOWER-Lung 1,Non-Small Cell Lung,Cemiplimab,Cemiplimab monotherapy for non-small cell lung cancer (NSCLC).
NCT02852083,Heudobler D et al,2021,33796020,ModuLung,Non-Small Cell Lung,Nivolumab,Nivolumab monotherapy for Non-Small Cell Lung Cancer.
NCT02952586,Lee NY et al,2021,33794205,JAVELIN Head and Neck 101,Head and Neck,Avelumab+Chemoradiotherapy,Avelumab in combination with chemoradiotherapy for head and neck cancer.
NCT02743494,Kelly RJ,2021,33789008,CheckMate 577,,Nivolumab,Nivolumab monotherapy
NCT02999087,Tao Y et al.,2021,33125944,REACH,Head and Neck,Avelumab+cetuximab+radiotherapy,"Avelumab, cetuximab, and radiotherapy for head and neck cancer."
