NCT,target,response,efficacy,Authors,Year,PMID
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,high,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,high,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,high,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,high,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,high,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,Positive,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,Positive,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,Positive,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,Positive,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,Positive,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,high,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,high,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,high,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,high,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,high,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,Positive,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,Positive,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,Positive,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,Positive,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,Positive,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,effective,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,effective,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,high,Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,high,Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,high,Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,high,Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,high,Hellmann MD et al (2),2019,31562796
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2018,29658845
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2018,29658845
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al,2019,31562796
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (1),2019,31562796
NCT02477826,PD-1,OS,"Treatment with Nivolumab+Chemotherapy improved OS and PFS compared to chemotherapy alone, especially in patients with PD-L1 <1%. Nivolumab monotherapy improved OS compared to chemotherapy in patients with PD-L1 >=50%.",Hellmann MD et al (2),2019,31562796
NCT02220894,PD-1,ORR,significant,Mok TSK et al,2019,30955977
NCT03059667,PD-L1,ORR,Positive,Pujol JL et al,2019,30664989
NCT02142738,PD-1,PFS,"Treatment showed positive results in PFS, OS, and ORR.",Reck M et al,2019,30620668
NCT02142738,PD-1,PFS,"Treatment showed positive results in PFS, OS, and ORR.",Reck M et al,2016,27718847
NCT02142738,PD-1,PFS,"Treatment showed effectiveness in PFS, OS and ORR",Reck M et al,2019,30620668
NCT02142738,PD-1,PFS,"Treatment showed effectiveness in PFS, OS and ORR",Reck M et al,2016,27718847
NCT02367781,PD-L1,OS+PFS,effective,West H et al,2019,31122901
NCT02613507,PD-1,OS,effective,Wu YL et al,2019,30659987
NCT02454933,EGFR inhibitor,,unknown,Yang JCH et al,2019,30763730
NCT00324155,CTLA-4,OS,effective,Robert C et al,2011,21639810
NCT00094653,CTLA-4,ORR,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,ORR,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,ORR,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",McDermott D et al,2013,23942774
NCT00094653,CTLA-4,ORR,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,ORR,Improved,Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,ORR,Improved,Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,ORR,Improved,McDermott D et al,2013,23942774
NCT00094653,CTLA-4,ORR,Improved,McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,ORR,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,ORR,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,ORR,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",McDermott D et al,2013,23942774
NCT00094653,CTLA-4,ORR,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,ORR,effective,Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,ORR,effective,Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,ORR,effective,McDermott D et al,2013,23942774
NCT00094653,CTLA-4,ORR,effective,McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,OS,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,OS,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,OS,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",McDermott D et al,2013,23942774
NCT00094653,CTLA-4,OS,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,OS,Improved,Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,OS,Improved,Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,OS,Improved,McDermott D et al,2013,23942774
NCT00094653,CTLA-4,OS,Improved,McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,OS,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,OS,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,OS,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",McDermott D et al,2013,23942774
NCT00094653,CTLA-4,OS,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,OS,effective,Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,OS,effective,Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,OS,effective,McDermott D et al,2013,23942774
NCT00094653,CTLA-4,OS,effective,McDermott D et al (1),2013,23942774
NCT00257205,CTLA-4,best overall response,OS and PFS are important efficacy measures.,Ribas A et al,2013,23295794
NCT02362594,PD-1,PFS,PFS and Distant metastasis-free survival were improved with treatment.,Eggermont AMM et al,2018,29658430
NCT02362594,PD-1,PFS,PFS and Distant metastasis-free survival were improved with treatment.,Eggermont AMM et al,2020,32946353
NCT02362594,PD-1,PFS,Positive,Eggermont AMM et al,2018,29658430
NCT02362594,PD-1,PFS,Positive,Eggermont AMM et al,2020,32946353
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,positive,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,positive,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,positive,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,positive,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,positive,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,positive,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,positive,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,positive,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,positive,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,positive,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,positive,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,positive,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,positive,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,positive,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,positive,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,positive,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT01704287,PD-1,ORR,effective,Ribas A et al,2015,26115796
NCT01704287,PD-1,ORR,effective,Ribas A et al (1),2015,26115796
NCT01704287,PD-1,ORR,effective,Hamid O et al,2017,28961465
NCT01704287,PD-1,ORR,effective,Hamid O et al (1),2017,28961465
NCT00636168,CTLA-4,PFS,effective,Eggermont AMM et al,2016,27717298
NCT00636168,CTLA-4,PFS,effective,Eggermont AMM et al,2015,25840693
NCT00636168,CTLA-4,PFS,PFS and OS were improved with Ipilimumab,Eggermont AMM et al,2016,27717298
NCT00636168,CTLA-4,PFS,PFS and OS were improved with Ipilimumab,Eggermont AMM et al,2015,25840693
NCT01721746,PD-1,OS+ORR,High,Weber JS et al,2015,25795410
NCT01721746,PD-1,OS+ORR,High,Larkin J et al,2018,28671856
NCT01721746,PD-1,OS+ORR,positive,Weber JS et al,2015,25795410
NCT01721746,PD-1,OS+ORR,positive,Larkin J et al,2018,28671856
NCT01721746,PD-1,OS+ORR,High,Weber JS et al,2015,25795410
NCT01721746,PD-1,OS+ORR,High,Larkin J et al,2018,28671856
NCT01721746,PD-1,OS+ORR,positive,Weber JS et al,2015,25795410
NCT01721746,PD-1,OS+ORR,positive,Larkin J et al,2018,28671856
NCT02130466,PD-1,ORR,"PFS, ORR, duration of response, time to response, OS",Ascierto PA et al,2019,31171878
NCT02130466,PD-1,ORR,"PFS, ORR, duration of response, time to response, OS",Ferrucci PF et al,2020,33361337
NCT02130466,PD-1,ORR,"PFS, ORR, duration of response, time to response, OS",Ascierto PA et al,2019,31171878
NCT02130466,PD-1,ORR,"PFS, ORR, duration of response, time to response, OS",Ferrucci PF et al,2020,33361337
NCT01721772,PD-1,OS,"The treatment appears to have had a positive effect on overall survival (OS) and progression-free survival (PFS) based on the primary and secondary endpoints. Furthermore, PD-L1 expression might predict OS.",Robert C et al,2015,25399552
NCT01721772,PD-1,OS,"The treatment appears to have had a positive effect on overall survival (OS) and progression-free survival (PFS) based on the primary and secondary endpoints. Furthermore, PD-L1 expression might predict OS.",Ascierto PA et al,2019,30422243
NCT01721772,PD-1,OS,"The treatment appears to have had a positive effect on overall survival (OS) and progression-free survival (PFS) based on the primary and secondary endpoints. Furthermore, PD-L1 expression might predict OS.",Robert C et al,2020,32997575
NCT01721772,PD-1,OS,Benefit,Robert C et al,2015,25399552
NCT01721772,PD-1,OS,Benefit,Ascierto PA et al,2019,30422243
NCT01721772,PD-1,OS,Benefit,Robert C et al,2020,32997575
NCT01721772,PD-1,OS,effective,Robert C et al,2015,25399552
NCT01721772,PD-1,OS,effective,Ascierto PA et al,2019,30422243
NCT01721772,PD-1,OS,effective,Robert C et al,2020,32997575
NCT01721772,PD-1,objective response,"The treatment appears to have had a positive effect on overall survival (OS) and progression-free survival (PFS) based on the primary and secondary endpoints. Furthermore, PD-L1 expression might predict OS.",Robert C et al,2015,25399552
NCT01721772,PD-1,objective response,"The treatment appears to have had a positive effect on overall survival (OS) and progression-free survival (PFS) based on the primary and secondary endpoints. Furthermore, PD-L1 expression might predict OS.",Ascierto PA et al,2019,30422243
NCT01721772,PD-1,objective response,"The treatment appears to have had a positive effect on overall survival (OS) and progression-free survival (PFS) based on the primary and secondary endpoints. Furthermore, PD-L1 expression might predict OS.",Robert C et al,2020,32997575
NCT01721772,PD-1,objective response,Benefit,Robert C et al,2015,25399552
NCT01721772,PD-1,objective response,Benefit,Ascierto PA et al,2019,30422243
NCT01721772,PD-1,objective response,Benefit,Robert C et al,2020,32997575
NCT01721772,PD-1,objective response,effective,Robert C et al,2015,25399552
NCT01721772,PD-1,objective response,effective,Ascierto PA et al,2019,30422243
NCT01721772,PD-1,objective response,effective,Robert C et al,2020,32997575
NCT01843374,CTLA-4,objective response,OS benefit observed; disease control observed; PFS benefit observed; objective response observed; duration of response observed,Maio M et al,2017,28729154
NCT02576977,PD-1,Overall response,high,Mateos MV et al,2019,31327687
NCT02579863,PD-1,overall response,"Treatment showed efficacy based on PFS, OS, overall response, duration of response, and disease control.",Usmani SZ et al,2019,31327689
NCT00861614,CTLA-4,OS,effective,Kwon ED et al,2014,24831977
NCT00861614,CTLA-4,OS,effective,Fizazi K et al.,2020,32811715
NCT00861614,CTLA-4,OS,effective,Kwon ED et al,2014,24831977
NCT00861614,CTLA-4,OS,effective,Fizazi K et al.,2020,32811715
NCT01057810,CTLA-4,OS,"OS PFS; time to subsequent systemic, cytotoxic therapy and to pain progression",Beer TM et al,2017,28034081
NCT02267343,PD-1,ORR,"Treatment showed improvement in OS, PFS, and ORR, indicating the treatment was effective.",Kang YK et al,2017,28993052
NCT02267343,PD-1,ORR,"Treatment showed improvement in OS, PFS, and ORR, indicating the treatment was effective.",Chen LT et al,2019,31863227
NCT02267343,PD-1,ORR,effective,Kang YK et al,2017,28993052
NCT02267343,PD-1,ORR,effective,Chen LT et al,2019,31863227
NCT02702401,PD-1,OS+PFS,"The treatment showed efficacy based on improvements in OS, PFS, ORR, DCR, and DoR.",Finn RS et al,2019,31790344
NCT02569242,PD-1,objective response,Positive,Kato K et al,2019,31582355
NCT01042379,PD-1,Path CR,effective,Nanda R et al,2019,32053137
NCT03043872,PD-1,objective response,"Likely effective, based on OS and PFS endpoints",Paz-Ares L et al,2019,31590988
NCT03043872,PD-1,objective response,"Likely effective, based on OS and PFS endpoints",Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1,objective response,"Likely effective, based on OS and PFS endpoints",Goldman JW et al,2020,33285097
NCT03043872,PD-1,objective response,"Likely effective, based on OS and PFS endpoints",Goldman JW et al (1),2020,33285097
NCT03043872,PD-1,objective response,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Paz-Ares L et al,2019,31590988
NCT03043872,PD-1,objective response,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1,objective response,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Goldman JW et al,2020,33285097
NCT03043872,PD-1,objective response,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Goldman JW et al (1),2020,33285097
NCT03043872,PD-1,objective response,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Paz-Ares L et al,2019,31590988
NCT03043872,PD-1,objective response,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1,objective response,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Goldman JW et al,2020,33285097
NCT03043872,PD-1,objective response,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Goldman JW et al (1),2020,33285097
NCT03043872,PD-1,objective response,likely beneficial,Paz-Ares L et al,2019,31590988
NCT03043872,PD-1,objective response,likely beneficial,Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1,objective response,likely beneficial,Goldman JW et al,2020,33285097
NCT03043872,PD-1,objective response,likely beneficial,Goldman JW et al (1),2020,33285097
NCT03043872,CTLA-4,objective response,"Likely effective, based on OS and PFS endpoints",Paz-Ares L et al,2019,31590988
NCT03043872,CTLA-4,objective response,"Likely effective, based on OS and PFS endpoints",Paz-Ares L et al (1),2019,31590988
NCT03043872,CTLA-4,objective response,"Likely effective, based on OS and PFS endpoints",Goldman JW et al,2020,33285097
NCT03043872,CTLA-4,objective response,"Likely effective, based on OS and PFS endpoints",Goldman JW et al (1),2020,33285097
NCT03043872,CTLA-4,objective response,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Paz-Ares L et al,2019,31590988
NCT03043872,CTLA-4,objective response,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Paz-Ares L et al (1),2019,31590988
NCT03043872,CTLA-4,objective response,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Goldman JW et al,2020,33285097
NCT03043872,CTLA-4,objective response,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Goldman JW et al (1),2020,33285097
NCT03043872,CTLA-4,objective response,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Paz-Ares L et al,2019,31590988
NCT03043872,CTLA-4,objective response,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Paz-Ares L et al (1),2019,31590988
NCT03043872,CTLA-4,objective response,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Goldman JW et al,2020,33285097
NCT03043872,CTLA-4,objective response,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Goldman JW et al (1),2020,33285097
NCT03043872,CTLA-4,objective response,likely beneficial,Paz-Ares L et al,2019,31590988
NCT03043872,CTLA-4,objective response,likely beneficial,Paz-Ares L et al (1),2019,31590988
NCT03043872,CTLA-4,objective response,likely beneficial,Goldman JW et al,2020,33285097
NCT03043872,CTLA-4,objective response,likely beneficial,Goldman JW et al (1),2020,33285097
NCT02425891,PD-L1,ORR,"Treatment showed positive results in both primary (OS+PFS) and secondary endpoints (ORR, DoR).",Schmid P et al,2018,30345906
NCT02425891,PD-L1,ORR,"Treatment showed positive results in both primary (OS+PFS) and secondary endpoints (ORR, DoR).",Schmid P et al,2019,31786121
NCT02425891,PD-L1,ORR,likely beneficial,Schmid P et al,2018,30345906
NCT02425891,PD-L1,ORR,likely beneficial,Schmid P et al,2019,31786121
NCT02358031,PD-1,OS+PFS,"Treatment showed positive results in OS and PFS, suggesting it worked well.",Burtness B et al,2019,31679945
NCT02358031,PD-1,OS+PFS,"Treatment showed positive results in OS and PFS, suggesting it worked well.",Burtness B et al (1),2019,31679945
