NCT,PMID,cancer_type_normalized,treatment_regimen_normalized,Authors,Year
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Tremelimumab+Etoposide+Platinum agent,Goldman JW et al (1),2020
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum agent,Paz-Ares L et al,2019
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum agent,Paz-Ares L et al (1),2019
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum agent,Goldman JW et al,2020
NCT03043872,33285097,Small Cell Lung Cancer,Durvalumab+Etoposide+Platinum agent,Goldman JW et al (1),2020
NCT02991482,32976938,Mesothelioma,Pembrolizumab,Popat S et al. ,2020
NCT02563002,33264544,Colorectal Cancer,Pembrolizumab,Andre T et al.,2020
NCT02362594,32946353,Melanoma,Pembrolizumab,Eggermont AMM et al,2018
NCT02362594,32946353,Melanoma,Pembrolizumab,Eggermont AMM et al,2020
NCT00636168,25840693,Melanoma,Ipilimumab,Eggermont AMM et al,2016
NCT00636168,25840693,Melanoma,Ipilimumab,Eggermont AMM et al,2015
NCT01903993,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2016
NCT01903993,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT02008227,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Rittmeyer A et al,2017
NCT02008227,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT02811861,33616314,Renal cell carcinoma,Pembrolizumab+Lenvatinib,Motzer R et al,2021
NCT03215706,33476593,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab+Chemotherapy,Paz-Ares L et al,2021
NCT02481830,33539946,Small Cell Lung Cancer,Nivolumab,Spigel DR et al,2021
NCT03141177,33657295,Renal Cell Carcinoma,Nivolumab and Cabozantinib,Choueiri TK et al,2021
NCT02538666,33683919,Small Cell Lung Cancer,Nivolumab+Ipilimumab,Owonikoko TK et al,2021
NCT02538666,33683919,Small Cell Lung Cancer,Nivolumab+Ipilimumab,Owonikoko TK et al,2021
NCT02538666,33683919,Small Cell Lung Cancer,Nivolumab,Owonikoko TK et al,2021
NCT02538666,33683919,Small Cell Lung Cancer,Nivolumab,Owonikoko TK et al,2021
NCT02299999,33462450,Breast Cancer,Durvalumab,Bachelot T et al,2021
NCT02684292,33721562,Hodgkin Lymphoma,Pembrolizumab,Kuruvilla J et al,2021
NCT02450331,33721560,Urothelial Cancer,Atezolizumab,Bellmunt J et al,2021
NCT02555657,33676601,Breast Cancer,Pembrolizumab,Winer PE et al,2021
NCT03088540,33581821,Non-Small Cell Lung Cancer,Cemiplimab,Sezer A et al,2021
NCT02852083,33796020,Non-Small Cell Lung Cancer,Nivolumab,Heudobler D et al,2021
NCT02952586,33794205,Head and Neck Cancer,Avelumab with Chemoradiotherapy,Lee NY et al,2021
NCT02743494,33789008,,Nivolumab,Kelly RJ,2021
NCT02999087,33125944,Head and Neck Cancer,Avelumab with cetuximab and radiotherapy,Tao Y et al.,2021
