NCT,PMID,cancer_type_normalized,treatment_regimen_normalized,Authors,Year
NCT02008227,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Fehrenbacher L et al,2018
NCT02008227,33166718,Non-Small Cell Lung Cancer,Atezolizumab,Mazieres J et al,2020
NCT02811861,33616314,renal cell carcinoma,pembrolizumab + lenvatinib,Motzer R et al,2021
NCT03215706,33476593,Non-Small Cell Lung Cancer,Nivolumab+Ipilimumab+Chemotherapy,Paz-Ares L et al,2021
NCT02481830,33539946,small cell lung cancer,nivolumab,Spigel DR et al,2021
NCT03141177,33657295,renal cell carcinoma,nivolumab+cabozantinib,Choueiri TK et al,2021
NCT02538666,33683919,Small Cell Lung Cancer,Nivolumab+Ipilimumab,Owonikoko TK et al,2021
NCT02538666,33683919,Small Cell Lung Cancer,Nivolumab+Ipilimumab,Owonikoko TK et al,2021
NCT02538666,33683919,Small Cell Lung Cancer,Nivolumab,Owonikoko TK et al,2021
NCT02538666,33683919,Small Cell Lung Cancer,Nivolumab,Owonikoko TK et al,2021
NCT02299999,33462450,Breast Cancer,Durvalumab,Bachelot T et al,2021
NCT02684292,33721562,Hodgkin Lymphoma,Pembrolizumab,Kuruvilla J et al,2021
NCT02450331,33721560,urothelial cancer,atezolizumab,Bellmunt J et al,2021
NCT02555657,33676601,Breast Cancer,Pembrolizumab,Winer PE et al,2021
NCT03088540,33581821,Non-Small Cell Lung Cancer,Cemiplimab,Sezer A et al,2021
NCT02852083,33796020,Non-Small Cell Lung Cancer,Nivolumab,Heudobler D et al,2021
NCT02952586,33794205,head and neck cancer,avelumab and chemoradiotherapy,Lee NY et al,2021
NCT02743494,33789008,unknown,Nivolumab,Kelly RJ,2021
NCT02999087,33125944,head and neck cancer,"avelumab, cetuximab, radiotherapy",Tao Y et al.,2021
