Type,Page,Content
text,10,"Depressed mood disorderse
16 (3.2)
16 (3.2)
5 (3.2)
8 (5.6)
9 (2.0)
12 (2.6)
12 (6.0)
12 (6.2)
21 (3"
text,10,"Breast disorders/gynecomastiae
15 (3.0)
7 (1.4)
6 (3.9)
3 (2.1)
10 (2.2)
5 (1.1)
11 (5.5)
5 (2.6)
21"
text,10,"Cerebral ischemia
7 (1.4)
5 (1.0)
1 (0.6)
3 (2.1)
7 (1.5)
4 (0.9)
1 (0.5)
4 (2.1)
8 (1.2)
8 (1.2)"
text,10,"Seizure
3 (0.6)
1 (0.2)
1 (0.6)
0
2 (0.4)
0
2 (1.0)
1 (0.5)
4 (0.6)
1 (0.2)"
text,10,NOTE. Data presented as No. (%).
text,10,aDisease volume deﬁned by CHAARTED criteria: presence of visceral metastases or $ 4 bone metastases 
text,10,"bDisease risk deﬁned by LATITUDE criteria (2 of the following three factors): Gleason score of $ 8, "
text,10,cThree patients who underwent random assignment never received the assigned trial treatment; all thr
text,10,"dThis category combines the following MedDRA terms: rash, maculopapular rash, drug eruption, pruriti"
text,10,eThis category is a MedDRA High-Level Group Term.
text,10,fExcluding pathological fractures. This category combines the following MedDRA terms: any fractures 
text,10,10 © 2023 by American Society of Clinical Oncology
text,10,Hussain et al
text,10,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,10,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,11,"median treatment duration in ARASENS was 41 months
for darolutamide plus ADT and docetaxel versus 34"
text,11,"ARASENS was designed before results were reported for the
LATITUDE trial, which showed an OS beneﬁt "
text,11,"speciﬁc antigen and alkaline phosphatase levels at base-
line. The late separation in the curves als"
text,11,"Results of ARASENS indicate an advantage to adding an
androgen receptor inhibitor (darolutamide) to "
text,11,"In patients with high-volume and high-risk/low-risk met-
astatic hormone-sensitive prostate cancer, "
text,11,AFFILIATIONS
text,11,"1Robert H. Lurie Comprehensive Cancer Center, Northwestern University,
Feinberg School of Medicine, "
text,11,"2Division of Urology, IREC, Cliniques Universitaires Saint Luc,
UCLouvain, Brussels, Belgium"
text,11,"3Centre Hospitalier de l’Universit´e de Montr´eal, University of Montreal,
Montreal, Quebec, Canada"
text,11,"4Institut Gustave Roussy, University of Paris-Saclay, Villejuif, France"
text,11,"5Englander Institute for Precision Medicine, Weill Cornell Department of
Medicine, Meyer Cancer Cent"
text,11,"6UC San Diego School of Medicine, San Diego, CA"
text,11,"7Carolina Urologic Research Center/Genesis Care, Myrtle Beach, SC"
text,11,"8Clinical Oncological Dispensary of Omsk Region, Omsk, Russian
Federation"
text,11,"9University of California Irvine, Division of Hematology/Oncology, Orange,
CA"
text,11,"10Department of Urology, M¨unster University Medical Center, M¨unster,
Germany"
text,11,"11Fudan University Shanghai Cancer Center, Xuhui District, Shanghai,
China"
text,11,"12N´ucleo de Pesquisa e Ensino da Rede São Camilo, São Paulo, Brazil"
text,11,"13Toho University Sakura Medical Center, Chiba, Japan"
text,11,"14Bayer SEA, Singapore"
text,11,"15Bayer HealthCare Pharmaceuticals Inc, Whippany, NJ"
text,11,"16Bayer Consumer Care AG, Basel, Switzerland"
text,11,"17Bayer AG, Berlin, Germany"
text,11,"18Orion Corporation, Espoo, Finland"
text,11,"19Massachusetts General Hospital Cancer Center, Boston, MA"
text,11,"CORRESPONDING AUTHOR
Maha Hussain, MD, Robert H. Lurie Comprehensive Cancer Center,
Northwestern Uni"
text,11,"PRIOR PRESENTATION
Presented in part at the ASCO Genitourinary Cancer Symposium, San
Francisco, CA, "
text,11,"SUPPORT
Supported by Bayer AG and Orion Pharma."
text,11,"Journal of Clinical Oncology
11"
text,11,"Darolutamide, ADT, and Docetaxel in mHSPC Volume/Risk Subgroups"
text,11,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,11,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,12,"CLINICAL TRIAL INFORMATION
NCT02799602"
text,12,"DATA SHARING STATEMENT
Availability of the data underlying this publication will be determined
accor"
text,12,"AUTHORS’ DISCLOSURES OF POTENTIAL CONFLICTS OF
INTEREST
Disclosures provided by the authors are avai"
text,12,"AUTHOR CONTRIBUTIONS
Conception and design: Maha Hussain, Bertrand Tombal, Fred Saad,
Karim Fizazi, "
text,12,"ACKNOWLEDGMENT
Statistical analyses were provided by Kevin Clark, MS, MPH, PT, of Bayer
and Lei Li, "
text,12,REFERENCES
text,12,"1.
Sweeney CJ, Chen YH, Carducci M, et al: Chemohormonal therapy in metastatic hormone-sensitive pro"
text,12,"2.
Fizazi K, Tran N, Fein L, et al: Abiraterone plus prednisone in metastatic, castration-sensitive "
text,12,"3.
Fizazi K, Tran N, Fein L, et al: Abiraterone acetate plus prednisone in patients with newly diagn"
text,12,"4.
Chi KN, Agarwal N, Bjartell A, et al: Apalutamide for metastatic, castration-sensitive prostate c"
text,12,"5.
Chi KN, Chowdhury S, Bjartell A, et al: Apalutamide in patients with metastatic castration-sensit"
text,12,"6.
Armstrong AJ, Azad AA, Iguchi T, et al: Improved survival with enzalutamide in patients with meta"
text,12,"7.
Davis ID, Martin AJ, Stockler MR, et al: Enzalutamide with standard ﬁrst-line therapy in metastat"
text,12,"8.
Fizazi K, Foulon S, Carles J, et al: Abiraterone plus prednisone added to androgen deprivation th"
text,12,"9.
Smith MR, Hussain M, Saad F, et al: Darolutamide and survival in metastatic, hormone-sensitive pr"
text,12,"10.
Davis ID, Martin AJ, Zielinski RR, et al: Updated Overall Survival Outcomes in ENZAMET (ANZUP 13"
text,12,"11.
Virgo KS, Rumble RB, de Wit R, et al: Initial management of noncastrate advanced, recurrent, or "
text,12,"12.
Mottet N, Cornford P, van den Bergh RCN, et al: EAU-EANM-ESTRO-ESUR-ISUP-SIOG Guidelines on Pros"
text,12,"13.
Francini E, Gray KP, Xie W, et al: Time of metastatic disease presentation and volume of disease"
text,12,"14.
Tewari AK, Gillessen S, Sweeney CJ: Metastatic prostate cancer: In search of more granularity. J"
text,12,"15.
Kyriakopoulos CE, Chen YH, Carducci MA, et al: Chemohormonal therapy in metastatic hormone-sensi"
text,12,"16.
Smith MR: Darolutamide in metastatic prostate cancer. Reply. N Engl J Med 386:2345, 2022"
text,12,"17.
Manohar PR, Rather TA, Khan SH, et al: Skeletal metastases presenting as superscan on technetium"
text,12,"18.
Morris MJ, Rathkopf DE, Novotny W, et al: Phase Ib study of enzalutamide in combination with doc"
text,12,"19.
Shore N, Zurth C, Fricke R, et al: Evaluation of clinically relevant drug-drug interactions and "
text,12,12 © 2023 by American Society of Clinical Oncology
text,12,Hussain et al
text,12,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,12,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,13,"20.
Clarke NW, Ali A, Ingleby FC, et al: Addition of docetaxel to hormonal therapy in low- and high-"
text,13,"21.
Moilanen AM, Riikonen R, Oksala R, et al: Discovery of ODM-201, a new-generation androgen recept"
text,13,"22.
Fizazi K, Shore N, Tammela TL, et al: Darolutamide in nonmetastatic, castration-resistant prosta"
text,13,"23.
Fizazi K, Shore N, Tammela TL, et al: Nonmetastatic, castration-resistant prostate cancer and su"
text,13,n n n
text,13,"Journal of Clinical Oncology
13"
text,13,"Darolutamide, ADT, and Docetaxel in mHSPC Volume/Risk Subgroups"
text,13,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,13,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,14,AUTHORS’ DISCLOSURES OF POTENTIAL CONFLICTS OF INTEREST
text,14,Darolutamide Plus Androgen-Deprivation Therapy and Docetaxel in Metastatic Hormone-Sensitive Prostat
text,14,The following represents disclosure information provided by authors of this manuscript. All relation
text,14,Open Payments is a public database containing information reported by companies about payments made 
text,14,"Maha Hussain
Honoraria: UroToday, Merck, Astellas Pharma, AstraZeneca, Precisca,
Medscape Zero, Targ"
text,14,"Bertrand Tombal
Honoraria: Amgen, Astellas Pharma, Bayer, Ferring, Sanoﬁ, Janssen, Pﬁzer,
Myovant Sc"
text,14,"Fred Saad
Honoraria: Astellas Pharma, Janssen Oncology, Sanoﬁ, Bayer, AstraZeneca,
AbbVie, Myovant S"
text,14,"Karim Fizazi
Honoraria: Janssen (Inst), Sanoﬁ(Inst), Astellas Pharma (Inst), Bayer (Inst)
Consulting"
text,14,"Cora N. Sternberg
Consulting or Advisory Role: Bayer, MSD, Pﬁzer, Roche, Incyte, AstraZeneca,
Merck,"
text,14,"E. David Crawford
Employment: Blue Earth Diagnostics
Leadership: Blue Earth Diagnostics
Honoraria: B"
text,14,"Neal Shore
Employment: GenesisCare
Leadership: Photocure, Alessa Therapeutics
Consulting or Advisory"
text,14,"Arash Rezazadeh Kalebasty
Stock and Other Ownership Interests: ECOM Medical
Consulting or Advisory R"
text,14,"Martin B¨ogemann
Employment: Janssen, Janssen
Honoraria: Janssen-Cilag, Astellas Pharma, Bayer/Vital"
text,14,"Felipe Cruz
Travel, Accommodations, Expenses: Janssen Oncology, Novartis"
text,14,© 2023 by American Society of Clinical Oncology
text,14,Hussain et al
text,14,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,14,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,15,"Hiroyoshi Suzuki
Consulting or Advisory Role: Janssen Research & Development, AstraZeneca,
Astellas "
text,15,"Shivani Kapur
Employment: Bayer HealthCare Pharmacuticals"
text,15,"Shankar Srinivasan
Employment: Bayer
Stock and Other Ownership Interests: Bayer"
text,15,"Frank Verholen
Employment: Bayer"
text,15,"Iris Kuss
Employment: Bayer Germany
Stock and Other Ownership Interests: Bayer"
text,15,"Heikki Joensuu
Employment: Orion
Stock and Other Ownership Interests: Orion, Sartar Therapeutics
Hon"
text,15,"Matthew R. Smith
Consulting or Advisory Role: Bayer, Janssen Oncology, Amgen, Pﬁzer, Lilly,
Novartis"
text,15,No other potential conﬂicts of interest were reported.
text,15,Journal of Clinical Oncology
text,15,"Darolutamide, ADT, and Docetaxel in mHSPC Volume/Risk Subgroups"
text,15,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,15,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,16,APPENDIX
text,16,"Overall
Extent of disease (eCRF)
Bone metastasis
Visceral metastasis
ALP stratification factor (eCRF"
text,16,203/497
text,16,"150/386
53/111"
text,16,"44/168
159/329"
text,16,"70/184
94/228
37/82
2/3"
text,16,"118/258
65/177
6/22
14/40"
text,16,"36/95
64/175
103/227"
text,16,"94/220
109/277"
text,16,"130/343
73/154"
text,16,"30/96
165/381"
text,16,"181/432
21/58"
text,16,268/508
text,16,"206/389
62/118"
text,16,"69/176
199/332"
text,16,"103/182
107/230
55/92
3/4"
text,16,"151/259
86/193
14/21
17/35"
text,16,"46/88
85/191
137/229"
text,16,"121/252
147/255"
text,16,"165/349
102/157"
text,16,"39/87
217/403"
text,16,"239/445
26/59"
text,16,NE
text,16,"NE
49.0"
text,16,"NE
47.1"
text,16,"NE
NE
NE
33.7"
text,16,"50.3
NE
NE
NE"
text,16,"NE
NE
49.0"
text,16,"NE
NE"
text,16,"NE
47.2"
text,16,"NE
NE"
text,16,"NE
NE"
text,16,42.4
text,16,"42.5
42.0"
text,16,"51.8
36.0"
text,16,"40.9
51.8
38.1
27.8"
text,16,"39.4
51.8
32.4
43.2"
text,16,"41.1
51.8
39.3"
text,16,"47.6
40.6"
text,16,"47.6
30.2"
text,16,"NE
42.3"
text,16,"42.4
NE"
text,16,0.685 (0.571 to 0.822)
text,16,"0.653 (0.529 to 0.806)
0.792 (0.549 to 1.143)"
text,16,"0.613 (0.420 to 0.896)
0.689 (0.559 to 0.849)"
text,16,"0.573 (0.423 to 0.777)
0.824 (0.624 to 1.087)
0.627 (0.413 to 0.951)"
text,16,"0.672 (0.528 to 0.855)
0.777 (0.563 to 1.072)
0.346 (0.132 to 0.904)
0.562 (0.275 to 1.150)"
text,16,"0.592 (0.382 to 0.918)
0.774 (0.559 to 1.070)
0.655 (0.507 to 0.846)"
text,16,"0.805 (0.615 to 1.055)
0.589 (0.459 to 0.754)"
text,16,"0.743 (0.591 to 0.936)
0.580 (0.430 to 0.784)"
text,16,"0.595 (0.369 to 0.958)
0.724 (0.591 to 0.887)"
text,16,"0.696 (0.574 to 0.845)
0.695 (0.390 to 1.241)"
text,16,"Darolutamide +
ADT +
Docetaxel"
text,16,"Median
Median
HR (95% CI)"
text,16,"0.1
0.1
10.0"
text,16,"No. of Events/No. of Patients
Subgroup"
text,16,"Placebo +
ADT +
Docetaxel"
text,16,"Darolutamide +
ADT +
Docetaxel"
text,16,"Placebo +
ADT +
Docetaxel"
text,16,"Darolutamide
Better
Placebo
Better"
text,16,A
text,16,FIG A1. OS in prespeciﬁed subgroups for patients with (A) high-volume and (B) low-volume disease. HR
text,16,© 2023 by American Society of Clinical Oncology
text,16,Hussain et al
text,16,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,16,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,17,B
text,17,"Overall
Extent of disease (eCRF)
Nonregional lymph node metastasis
Bone metastasis
ALP stratificatio"
text,17,26/154
text,17,"5/23
21/131"
text,17,"18/122
8/32"
text,17,"10/59
13/75
3/20"
text,17,"13/87
9/53
2/4
2/10"
text,17,"6/30
10/54
10/70"
text,17,"16/95
10/59"
text,17,"20/123
6/31"
text,17,"3/26
22/124"
text,17,"25/126
1/28"
text,17,36/146
text,17,"5/15
31/131"
text,17,"24/115
12/31"
text,17,"14/52
17/76
5/18"
text,17,"22/74
7/52
2/7
5/13"
text,17,"10/31
7/53
19/62"
text,17,"21/85
15/61"
text,17,"23/113
13/33"
text,17,"5/31
31/113"
text,17,"32/121
4/23"
text,17,NE
text,17,"NE
NE"
text,17,"NE
NE"
text,17,"NE
NE
NE"
text,17,"NE
NE
NE
NE"
text,17,"NE
NE
NE"
text,17,"NE
NE"
text,17,"NE
NE"
text,17,"NE
NE"
text,17,"NE
NE"
text,17,NE
text,17,"NE
NE"
text,17,"NE
NE"
text,17,"NE
NE
NE"
text,17,"NE
NE
NE
45.7"
text,17,"NE
NE
NE"
text,17,"NE
NE"
text,17,"NE
NE"
text,17,"NE
NE"
text,17,"NE
NE"
text,17,0.682 (0.412 to 1.130)
text,17,"0.602 (0.174 to 2.082)
0.680 (0.391 to 1.184)"
text,17,"0.705 (0.383 to 1.299)
0.667 (0.272 to 1.631)"
text,17,"0.681 (0.302 to 1.534)
0.752 (0.365 to 1.548)"
text,17,"0.461 (0.232 to 0.916)
1.444 (0.537 to 3.881)"
text,17,"0.602 (0.219 to 1.658)
1.617 (0.615 to 4.251)
0.411 (0.191 to 0.885)"
text,17,"0.680 (0.355 to 1.303)
0.690 (0.310 to 1.535)"
text,17,"0.826 (0.454 to 1.504)
0.433 (0.165 to 1.140)"
text,17,0.641 (0.371 to 1.108)
text,17,0.755 (0.447 to 1.274)
text,17,HR (95% CI)
text,17,"0.1
0.1
10.0"
text,17,"No. of Events/No. of Patients
Subgroup
Median
Median"
text,17,"Darolutamide +
ADT +
Docetaxel"
text,17,"Placebo +
ADT +
Docetaxel"
text,17,"Darolutamide +
ADT +
Docetaxel"
text,17,"Placebo +
ADT +
Docetaxel"
text,17,"Darolutamide
Better
Placebo
Better"
text,17,FIG A1. (Continued).
text,17,Journal of Clinical Oncology
text,17,"Darolutamide, ADT, and Docetaxel in mHSPC Volume/Risk Subgroups"
text,17,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,17,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,18,TABLE A1. Subsequent Life-Prolonging Systemic Antineoplastic Therapy in Patient Subgroups by Disease
text,18,Subsequent Therapyc
text,18,"High Volumea
Low Volumea
High Riskb
Low Riskb
All Patientsc"
text,18,"Darolutamide
(n 5 271)
Placebo
(n 5 402)
Darolutamide
(n 5 44)
Placebo
(n 5 93)
Darolutamide
(n 5 24"
text,18,"Patients with subsequent
life-prolonging systemic
antineoplastic therapy"
text,18,"162 (59.8)
306 (76.1)
17 (38.6)
68 (73.1)
145 (60.4)
283 (77.7)
34 (45.3)
91 (69.5)
179 (56.8)
374 ("
text,18,"Abiraterone acetate
101 (37.3)
190 (47.3)
11 (25.0)
42 (45.2)
91 (37.9)
178 (48.9)
21 (28.0)
54 (41."
text,18,"Enzalutamide
41 (15.1)
106 (26.4)
7 (15.9)
30 (32.3)
35 (14.6)
100 (27.5)
13 (17.3)
36 (27.5)
48 (15"
text,18,"Cabazitaxel
53 (19.6)
75 (18.7)
4 (9.1)
14 (15.1)
48 (20.0)
65 (17.9)
9 (12.0)
24 (18.3)
57 (18.1)
8"
text,18,"Docetaxel
41 (15.1)
74 (18.4)
5 (11.4)
15 (16.1)
37 (15.4)
66 (18.1)
9 (12.0)
23 (17.6)
46 (14.6)
89"
text,18,"Radium-223
18 (6.6)
30 (7.5)
1 (2.3)
4 (4.3)
18 (7.5)
22 (6.0)
1 (1.3)
12 (9.2)
19 (6.0)
34 (6.9)"
text,18,"Sipuleucel-T
4 (1.5)
7 (1.7)
0
3 (3.2)
4 (1.7)
8 (2.2)
0
2 (1.5)
4 (1.3)
10 (2.0)"
text,18,"Lutetium-177 PSMA
2 (0.7)
7 (1.7)
0
0
2 (0.8)
7 (1.9)
0
0
2 (0.6)
7 (1.4)"
text,18,"Apalutamide
2 (0.7)
1 (0.2)
0
1 (1.1)
2 (0.8)
2 (0.5)
0
0
2 (0.6)
2 (0.4)"
text,18,"Other systemic antineoplastic therapy
25 (9.2)
18 (4.5)
15 (34.1)
3 (3.2)
28 (11.7)
16 (4.4)
12 (16."
text,18,"NOTE. Data presented as No. (%).
Abbreviation: PSMA, prostate-speciﬁc membrane antigen."
text,18,aDisease volume deﬁned by CHAARTED criteria: presence of visceral metastases or $ 4 bone metastases 
text,18,"bDisease risk deﬁned by LATITUDE criteria (2 of the following three factors): Gleason score of $ 8, "
text,18,"cAt the data cutoff date (October 25, 2021), 45.9% of patients in the darolutamide group and 19.1% o"
text,18,© 2023 by American Society of Clinical Oncology
text,18,Hussain et al
text,18,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,18,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
table,1,                                                                                                    
table,1,                         0                                                                          
table,2,                                                                                                    
table,2,                                                                              0                     
table,3,                                                                 0                                  
table,3,"                               0                                                       1
0          "
table,3,                                                                0            1                      
table,3,                                                                                                    
table,4,                                                               0                                    
table,5,                                                   0             1             2             3      
table,6,                            0    1                                           2                      
table,6,                               0                             1                                      
table,6,                                                                                                    
table,7,                                0    1                                           2                  
table,7,                                                                                                    
table,8,                                           0                    1                                   
table,9,                  0             1             2             3            4             5           6
table,9,                 0                1                2               3               4                
table,10,                                        0                                                           
table,10,                                                                                                    
table,11,                                                                               0                    
table,12,                                                                                0                   
table,12,             0                                                                                      
table,13,     0                                                                                              
table,14,                                                                                                    
table,15,                                                                                    0               
table,16,                                        0                              1          2               3 
table,17,                                        0                              1          2               3 
table,18,                                                                                                    
image,1,iVBORw0KGgoAAAANSUhEUgAAAOQAAAAtCAAAAACb25gtAAAACXBIWXMAAA7EAAAOxAGVKw4bAAAATklEQVR4nO3PAQ0AIAzAsPs3
image,1,iVBORw0KGgoAAAANSUhEUgAAAOQAAAAtCAIAAAAx0lCmAAAACXBIWXMAAA7EAAAOxAGVKw4bAAAQHElEQVR4nO2aCXNUVRbH+Q4z
