row_index,question,gt_sql_original,gt_sql_final,status,error,result_rows,results_csv,fixes_applied
26,Show Renal cell trials using PD-L1 where PD‑L1 positivity was an inclusion criterion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""ici_class"" = 'PD-L1' AND ""pdl1_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_pd_l1_positivity_inclusion_criteria"", ""class_of_ici"", ""cancer_type"", ""name_of_ici"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""class_of_ici"" = 'PD-L1' AND ""is_pd_l1_positivity_inclusion_criteria"" = 'No';",ok,,5,gt_sql_runs_fixed/row026_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'pdl1_inclusion', 'replaced_with': 'is_pd_l1_positivity_inclusion_criteria', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
27,List Non-Small Cell Lung trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""other_biomarker_inclusion"" = 'Yes';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_any_other_biomarker_used_for_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""is_any_other_biomarker_used_for_inclusion"" = 'Yes';",ok,,13,gt_sql_runs_fixed/row027_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'other_biomarker_inclusion', 'replaced_with': 'is_any_other_biomarker_used_for_inclusion', 'reason': 'known_map'}]"
28,Find Head and Neck trials with median follow‑up and show months by arm.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""follow_up_type"", ""cancer_type"", ""follow_up_duration_rx_months"", ""follow_up_duration_control_months""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""follow_up_type"" = 'Median';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_follow_up_given"", ""cancer_type"", ""follow_up_duration_for_primary_endpoint_s_in_months_rx"", ""follow_up_duration_for_primary_endpoint_s_in_months_control""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""type_of_follow_up_given"" = 'Median';",ok,,8,gt_sql_runs_fixed/row028_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'follow_up_type', 'replaced_with': 'type_of_follow_up_given', 'reason': 'known_map'}, {'missing': 'follow_up_duration_rx_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_rx', 'reason': 'known_map'}, {'missing': 'follow_up_duration_control_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_control', 'reason': 'known_map'}]"
29,List Head and Neck trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""other_biomarker_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_any_other_biomarker_used_for_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""is_any_other_biomarker_used_for_inclusion"" = 'No';",ok,,9,gt_sql_runs_fixed/row029_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'other_biomarker_inclusion', 'replaced_with': 'is_any_other_biomarker_used_for_inclusion', 'reason': 'known_map'}]"
30,List Head and Neck Nivolumab trials where overall follow‑up exceeded 21 months.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""follow_up_duration_overall_months"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""ici_name"" = 'Nivolumab' AND NULLIF(regexp_replace((""follow_up_duration_overall_months"")::text, '[^0-9\.-]', '', 'g'), '')::numeric > 21;","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""name_of_ici"", ""follow_up_duration_for_primary_endpoint_s_in_months_overall"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""name_of_ici"" = 'Nivolumab' AND NULLIF(regexp_replace((""follow_up_duration_for_primary_endpoint_s_in_months_overall"")::text, '[^0-9\.-]', '', 'g'), '')::numeric > 21;",ok,,1,gt_sql_runs_fixed/row030_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}, {'missing': 'follow_up_duration_overall_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_overall', 'reason': 'known_map'}]"
31,"Show Renal cell PD1, CTLA-4 trials conducted in 2018 or later.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""ici_class"" = 'PD1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Renal cell' AND ""class_of_ici"" = 'PD1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;",ok,,3,gt_sql_runs_fixed/row031_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}]"
32,"List PD1, CTLA-4 trials that reported composite or co-primary endpoints.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD1, CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Co-primary';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""priamry_multiple_composite_or_co_primary_endpoints"", ""name_of_ici"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'PD1, CTLA-4' AND ""priamry_multiple_composite_or_co_primary_endpoints"" = 'Co-primary';",ok,,4,gt_sql_runs_fixed/row032_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'primary_endpoint_is_multiple_or_composite', 'replaced_with': 'priamry_multiple_composite_or_co_primary_endpoints', 'reason': 'token_overlap(score=5)'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
33,List PD1 trials that reported composite or co-primary endpoints.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD1' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""priamry_multiple_composite_or_co_primary_endpoints"", ""name_of_ici"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'PD1' AND ""priamry_multiple_composite_or_co_primary_endpoints"" = 'Multiple';",ok,,19,gt_sql_runs_fixed/row033_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'primary_endpoint_is_multiple_or_composite', 'replaced_with': 'priamry_multiple_composite_or_co_primary_endpoints', 'reason': 'token_overlap(score=5)'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
34,Show Bladder trials using PD1 where PD‑L1 positivity was an inclusion criterion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_pd_l1_positivity_inclusion_criteria"", ""class_of_ici"", ""cancer_type"", ""name_of_ici"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""class_of_ici"" = 'PD1' AND ""is_pd_l1_positivity_inclusion_criteria"" = 'No';",ok,,2,gt_sql_runs_fixed/row034_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'pdl1_inclusion', 'replaced_with': 'is_pd_l1_positivity_inclusion_criteria', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
35,Which Gastric/GEJ trials used Placebo as the control arm?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control_type"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Gastric/GEJ' AND ""control_type"" = 'Placebo';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_control"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Gastric/GEJ' AND ""type_of_control"" = 'Placebo';",ok,,2,gt_sql_runs_fixed/row035_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'control_type', 'replaced_with': 'type_of_control', 'reason': 'known_map'}]"
36,Show Gastric/GEJ trials using PD1 where PD‑L1 positivity was an inclusion criterion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Gastric/GEJ' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_pd_l1_positivity_inclusion_criteria"", ""class_of_ici"", ""cancer_type"", ""name_of_ici"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Gastric/GEJ' AND ""class_of_ici"" = 'PD1' AND ""is_pd_l1_positivity_inclusion_criteria"" = 'No';",ok,,3,gt_sql_runs_fixed/row036_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'pdl1_inclusion', 'replaced_with': 'is_pd_l1_positivity_inclusion_criteria', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
37,"Which Phase 2 PD-L1 monotherapy trials in Breast should I review, and what were their regimens?","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1' AND ""cancer_type"" = 'Breast' AND ""trial_phase"" = 'Phase 2' AND ""therapy_modality"" = 'Monotherapy';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""class_of_ici"", ""monotherapy_combination"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'PD-L1' AND ""cancer_type"" = 'Breast' AND ""trial_phase"" = 'Phase 2' AND ""monotherapy_combination"" = 'Monotherapy';",ok,,1,gt_sql_runs_fixed/row037_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
38,Show Bladder PD-L1 trials conducted in 2018 or later.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""ici_class"" = 'PD-L1' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""class_of_ici"" = 'PD-L1' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;",ok,,1,gt_sql_runs_fixed/row038_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}]"
39,List Bladder trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""other_biomarker_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_any_other_biomarker_used_for_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Bladder' AND ""is_any_other_biomarker_used_for_inclusion"" = 'No';",ok,,3,gt_sql_runs_fixed/row039_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'other_biomarker_inclusion', 'replaced_with': 'is_any_other_biomarker_used_for_inclusion', 'reason': 'known_map'}]"
40,List CTLA-4 trials that reported composite or co-primary endpoints.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""priamry_multiple_composite_or_co_primary_endpoints"", ""name_of_ici"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'CTLA-4' AND ""priamry_multiple_composite_or_co_primary_endpoints"" = 'Multiple';",ok,,1,gt_sql_runs_fixed/row040_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'primary_endpoint_is_multiple_or_composite', 'replaced_with': 'priamry_multiple_composite_or_co_primary_endpoints', 'reason': 'token_overlap(score=5)'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
41,"Show Non-Small Cell Lung PD-L1, CTLA-4 trials conducted in 2018 or later.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""ici_class"" = 'PD-L1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""class_of_ici"" = 'PD-L1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;",ok,,2,gt_sql_runs_fixed/row041_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}]"
42,"List PD-L1, CTLA-4 trials that reported composite or co-primary endpoints.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""primary_endpoint_is_multiple_or_composite"", ""ici_name"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1, CTLA-4' AND ""primary_endpoint_is_multiple_or_composite"" = 'Multiple';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""priamry_multiple_composite_or_co_primary_endpoints"", ""name_of_ici"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'PD-L1, CTLA-4' AND ""priamry_multiple_composite_or_co_primary_endpoints"" = 'Multiple';",ok,,2,gt_sql_runs_fixed/row042_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'primary_endpoint_is_multiple_or_composite', 'replaced_with': 'priamry_multiple_composite_or_co_primary_endpoints', 'reason': 'token_overlap(score=5)'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
43,"Show Non-Small Cell Lung studies included in the meta‑analysis that used PD-L1, CTLA-4 agents.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""included_in_ma"", ""ici_class"", ""cancer_type"", ""ici_name""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""ici_class"" = 'PD-L1, CTLA-4' AND ""included_in_ma"" = 'Yes';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""included_in_ma"", ""class_of_ici"", ""cancer_type"", ""name_of_ici""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""class_of_ici"" = 'PD-L1, CTLA-4' AND ""included_in_ma"" = 'Yes';",ok,,2,gt_sql_runs_fixed/row043_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
44,"Which Phase 3 PD-L1, CTLA-4 combination trials in Non-Small Cell Lung should I review, and what were their regimens?","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'PD-L1, CTLA-4' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 3' AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""class_of_ici"", ""monotherapy_combination"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'PD-L1, CTLA-4' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 3' AND ""monotherapy_combination"" = 'Combination';",ok,,2,gt_sql_runs_fixed/row044_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
45,Which Pancreatic trials evaluated Pembrolizumab in phase 2?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Pembrolizumab' AND ""cancer_type"" = 'Pancreatic' AND ""trial_phase"" = 'Phase 2';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""name_of_ici"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""name_of_ici"" = 'Pembrolizumab' AND ""cancer_type"" = 'Pancreatic' AND ""trial_phase"" = 'Phase 2';",ok,,1,gt_sql_runs_fixed/row045_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
46,Which Melanoma trials evaluated Pembrolizumab in phase 3?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Pembrolizumab' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 3';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""name_of_ici"", ""trial_phase"", ""cancer_type"", ""trial_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""name_of_ici"" = 'Pembrolizumab' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 3';",ok,,2,gt_sql_runs_fixed/row046_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
47,Show Melanoma trials using PD1 where PD‑L1 positivity was an inclusion criterion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""pdl1_inclusion"", ""ici_class"", ""cancer_type"", ""ici_name"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""ici_class"" = 'PD1' AND ""pdl1_inclusion"" = 'No';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_pd_l1_positivity_inclusion_criteria"", ""class_of_ici"", ""cancer_type"", ""name_of_ici"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""class_of_ici"" = 'PD1' AND ""is_pd_l1_positivity_inclusion_criteria"" = 'No';",ok,,14,gt_sql_runs_fixed/row047_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'pdl1_inclusion', 'replaced_with': 'is_pd_l1_positivity_inclusion_criteria', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
48,Which Non-Small Cell Lung trials used Chemo+Anti-VEGF as the control arm?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control_type"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""control_type"" = 'Chemo+Anti-VEGF';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_control"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""type_of_control"" = 'Chemo+Anti-VEGF';",ok,,2,gt_sql_runs_fixed/row048_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'control_type', 'replaced_with': 'type_of_control', 'reason': 'known_map'}]"
49,"Show Head and Neck PD-L1, CTLA-4 trials conducted in 2018 or later.","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_class"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""ici_class"" = 'PD-L1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""class_of_ici"", ""cancer_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND ""class_of_ici"" = 'PD-L1, CTLA-4' AND NULLIF(regexp_replace((""year"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2018;",ok,,1,gt_sql_runs_fixed/row049_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}]"
50,Show Head and Neck trials with at least 2 prior lines of therapy that used combination treatment.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_of_treatment"", ""therapy_modality"", ""cancer_type"", ""combination_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""lines_of_treatment"", ""monotherapy_combination"", ""cancer_type"", ""type_of_combination"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Head and Neck' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""monotherapy_combination"" = 'Combination';",ok,,1,gt_sql_runs_fixed/row050_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'combination_type', 'replaced_with': 'type_of_combination', 'reason': 'known_map'}]"
